condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
chrome-devtools-mcp-compressed-cli,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:33:58.315Z,true,94545,71271,229,0,0.11209079999999999,19.874,3,0,0
chrome-devtools-mcp,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:34:02.299Z,true,138258,115594,178,0,0.12233520000000002,12.207,3,0,0
chrome-devtools-mcp-search,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:34:03.933Z,true,126636,103199,331,0,0.12380819999999998,13.852,4,0,0
pinchtab,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:04.954Z,true,62709,62024,123,0,0.0230187,7.007,2,0,0
agent-browser-axi,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:04.960Z,true,63153,59629,148,0,0.033321449999999996,10.551,2,0,0
agent-browser,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:11.928Z,true,95094,95090,222,0,0.031869,12.117,3,0,0
chrome-devtools-mcp-compressed-cli,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:34:16.183Z,true,94572,71285,242,0,0.11233875000000001,14.342,3,0,0
agent-browser,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:20.538Z,true,63291,63068,129,0,0.021689399999999998,5.473,2,0,0
agent-browser-axi,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:20.561Z,true,63158,40046,153,0,0.10097655000000001,7.198,2,0,0
pinchtab,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:20.609Z,true,62744,39622,147,0,0.10079685,6.858,2,0,0
chrome-devtools-mcp,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:22.541Z,true,138279,115452,178,0,0.12290385,16.674,3,0,0
chrome-devtools-mcp-search,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:22.623Z,true,126664,99781,331,0,0.1357053,15.513,4,0,0
chrome-devtools-mcp-code,read_static_page,1,claude-sonnet-4-6,2026-03-26T21:34:29.152Z,true,557659,527621,2331,0,0.30588104999999993,72,16,0,0
chrome-devtools-mcp-compressed-cli,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:34:31.922Z,true,94585,71291,244,0,0.1123968,12.15,3,0,0
chrome-devtools-mcp,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:37.366Z,true,139887,117216,178,0,0.12284805,9.963,3,0,0
pinchtab,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:34:37.983Z,true,126496,102491,450,0,0.1275123,14.115,4,0,0
agent-browser-axi,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:34:38.172Z,true,96603,72453,334,0,0.11730539999999999,12.189,3,0,0
chrome-devtools-mcp-search,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:40.124Z,true,126683,103233,337,0,0.12395714999999999,14.02,4,0,0
agent-browser,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:34:41.030Z,true,128737,104440,348,0,0.127662,16.449,4,0,0
chrome-devtools-mcp-code,read_static_page,2,claude-sonnet-4-6,2026-03-26T21:34:42.146Z,true,95134,71791,367,0,0.11457555,9.365,3,0,0
chrome-devtools-mcp-compressed-cli,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:34:48.470Z,true,94548,71441,230,0,0.11153055,12.869,3,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:34:53.074Z,true,137884,115332,296,0,0.12360659999999998,12.224,3,0,0
agent-browser,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:34:55.135Z,true,95450,71945,261,0,0.11363925,10.949,3,0,0
chrome-devtools-mcp-code,read_static_page,3,claude-sonnet-4-6,2026-03-26T21:34:58.162Z,true,95119,71782,354,0,0.11435535,12.758,3,0,0
agent-browser-axi,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:34:58.315Z,true,96608,72454,332,0,0.1172907,15.38,3,0,0
pinchtab,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:35:00.345Z,true,125999,102553,417,0,0.12493965,17.394,4,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:35:05.745Z,true,94762,71505,264,0,0.11262225,13.047,3,0,0
agent-browser,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:35:10.032Z,true,128776,104465,359,0,0.127887,10.927,4,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:35:10.773Z,true,138388,115667,299,0,0.12438584999999999,13.302,3,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:35:13.117Z,true,226402,201243,1083,0,0.17095665,29.172,7,0,0
pinchtab,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:35:14.091Z,true,125695,102485,271,0,0.12184425,10.39,4,0,0
agent-browser-axi,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:35:15.119Z,true,129407,104834,507,0,0.1312002,11.664,4,0,0
chrome-devtools-mcp-code,read_static_page,4,claude-sonnet-4-6,2026-03-26T21:35:17.176Z,true,159350,135549,601,0,0.13892895,15.543,5,0,0
agent-browser,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:35:26.005Z,true,95379,71945,258,0,0.11332800000000001,11.047,3,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:35:26.726Z,true,94762,71323,264,0,0.11325015,16.761,3,0,0
chrome-devtools-mcp-code,read_static_page,5,claude-sonnet-4-6,2026-03-26T21:35:30.705Z,true,95119,71782,364,0,0.11450534999999999,8.796,3,0,0
pinchtab,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:35:30.969Z,true,126040,102573,440,0,0.12536940000000002,13.403,4,0,0
agent-browser-axi,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:35:31.529Z,true,129401,105108,508,0,0.13024739999999999,13.046,4,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:35:33.583Z,true,138392,115490,302,0,0.1250565,18.717,3,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:35:40.502Z,true,201611,167647,872,0,0.19073235000000002,22.688,6,0,0
agent-browser,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:35:43.487Z,true,128808,104300,389,0,0.12902624999999998,11.947,4,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:35:43.898Z,true,94877,71329,269,0,0.1137357,13.267,3,0,0
agent-browser-axi,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:35:47.203Z,true,129407,105112,512,0,0.1303161,11.905,4,0,0
pinchtab,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:35:47.623Z,true,125783,102569,350,0,0.12306945000000001,13.066,4,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,1,claude-sonnet-4-6,2026-03-26T21:35:48.398Z,true,95388,68558,393,0,0.1270719,11.182,3,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:35:49.015Z,true,138381,115667,292,0,0.12425459999999999,12.036,3,0,0
agent-browser,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:36:00.121Z,true,130362,104247,406,0,0.1352916,12.441,4,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:36:01.330Z,true,94764,71323,266,0,0.11328764999999999,13.337,3,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,2,claude-sonnet-4-6,2026-03-26T21:36:02.891Z,true,95503,71890,402,0,0.11614275000000002,10.325,3,0,0
pinchtab,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:36:03.972Z,true,128962,102968,418,0,0.13463414999999998,12.167,4,0,0
chrome-devtools-mcp,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:36:04.551Z,true,138383,115667,293,0,0.12427709999999999,12.249,3,0,0
agent-browser-axi,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:36:05.381Z,true,132062,105468,539,0,0.13944915,12.861,4,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:36:08.163Z,true,225963,201185,1058,0,0.1691355,24.339,7,0,0
agent-browser,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:36:18.091Z,true,163207,137969,594,0,0.1449387,13.78,5,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:36:18.608Z,true,94747,71329,253,0,0.1130082,13.687,3,0,0
pinchtab,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:36:20.592Z,true,127483,102925,444,0,0.12962625,12.621,4,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,3,claude-sonnet-4-6,2026-03-26T21:36:24.154Z,true,136815,108388,581,0,0.14782889999999999,16.532,4,0,0
agent-browser-axi,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:36:31.112Z,true,131716,105444,520,0,0.13794944999999997,21.634,4,0,0
chrome-devtools-mcp,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:36:34.623Z,true,185666,162021,638,0,0.14684129999999998,26.192,4,0,0
agent-browser,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:36:35.249Z,true,130576,104308,496,0,0.13723364999999998,13.398,4,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:36:36.212Z,true,226255,201136,1112,0,0.17120955000000002,24.317,7,0,0
pinchtab,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:36:37.533Z,true,129891,102233,422,0,0.14071365000000002,12.333,4,0,0
chrome-devtools-mcp-compressed-cli,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:36:44.259Z,true,166568,139082,603,0,0.1538376,21.205,5,0,0
agent-browser-axi,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:36:48.035Z,true,98070,72431,347,0,0.12307755,12.121,3,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,4,claude-sonnet-4-6,2026-03-26T21:36:48.604Z,true,95388,71886,388,0,0.1155153,21.196,3,0,0
pinchtab,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:36:59.420Z,true,129660,103235,426,0,0.1364505,17.392,4,0,0
agent-browser-axi,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:37:02.853Z,true,98019,72427,305,0,0.12227009999999999,10.962,3,0,0
chrome-devtools-mcp-code,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:37:03.186Z,true,95512,71896,402,0,0.1161558,11.219,3,0,0
agent-browser,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:37:04.190Z,true,130400,104497,471,0,0.1355466,24.911,4,0,0
chrome-devtools-mcp,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:37:06.492Z,true,232850,209109,875,0,0.16488195,27.621,5,0,0
chrome-devtools-mcp-compressed-cli,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:37:10.007Z,true,162357,137246,668,0,0.14535555,21.452,5,0,0
pinchtab,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:37:15.770Z,true,128959,103250,421,0,0.133695,12.183,4,0,0
chrome-devtools-mcp-search,wikipedia_fact_lookup,5,claude-sonnet-4-6,2026-03-26T21:37:18.671Z,true,225762,201108,1060,0,0.16867739999999998,38.707,7,0,0
agent-browser,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:37:20.661Z,true,130286,104254,411,0,0.13505745,11.996,4,0,0
agent-browser-axi,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:37:20.677Z,true,130226,105419,493,0,0.1320432,13.364,4,0,0
pinchtab,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:37:30.172Z,true,94873,70665,389,0,0.1178115,10.364,3,0,0
agent-browser-axi,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:37:32.615Z,true,63976,40041,314,0,0.10647630000000001,7.747,2,0,0
chrome-devtools-mcp-code,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:37:35.995Z,true,187585,148826,862,0,0.20291954999999998,28.711,5,0,0
chrome-devtools-mcp,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:37:36.773Z,true,232512,208978,664,0,0.16090139999999997,26.301,5,0,0
agent-browser,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:37:39.208Z,true,95971,71661,401,0,0.11867279999999998,10.134,3,0,0
chrome-devtools-mcp-compressed-cli,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:37:42.899Z,true,234105,205835,1123,0,0.184602,28.651,7,0,0
chrome-devtools-mcp-search,github_repo_stars,1,claude-sonnet-4-6,2026-03-26T21:37:43.931Z,false,31051,8603,8,0,0.0868794,15.347,0,0,0
agent-browser-axi,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:37:54.967Z,true,63981,40044,312,0,0.1064547,10.08,2,0,0
agent-browser,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:37:59.852Z,true,95980,71853,401,0,0.11804415,10.628,3,0,0
chrome-devtools-mcp-code,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:38:02.684Z,true,200351,172851,1127,0,0.17188005,21.832,6,0,0
pinchtab,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:38:04.469Z,true,94891,70925,400,0,0.117147,29.063,3,0,0
agent-browser-axi,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:38:10.764Z,true,63966,40044,291,0,0.10608345,7.373,2,0,0
chrome-devtools-mcp-search,github_repo_stars,2,claude-sonnet-4-6,2026-03-26T21:38:11.610Z,false,31054,8603,8,0,0.08689065,14.669,0,0,0
chrome-devtools-mcp,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:38:11.728Z,true,232841,209117,836,0,0.1642356,31.354,5,0,0
pinchtab,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:38:17.170Z,true,63486,39631,302,0,0.1058733,9.244,2,0,0
agent-browser,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:38:19.739Z,true,95978,71852,406,0,0.1181151,10.783,3,0,0
chrome-devtools-mcp-code,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:38:24.512Z,true,167526,140031,719,0,0.15589604999999998,17.655,5,0,0
chrome-devtools-mcp-compressed-cli,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:38:30.695Z,true,292859,256551,1548,0,0.23633354999999995,39.849,8,0,0
chrome-devtools-mcp-search,github_repo_stars,3,claude-sonnet-4-6,2026-03-26T21:38:31.338Z,false,31054,8603,0,0,0.08677065,11.444,0,0,0
agent-browser-axi,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:38:32.135Z,true,63979,40044,310,0,0.10641719999999999,7.456,2,0,0
pinchtab,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:38:32.316Z,true,63487,39634,302,0,0.1058667,8.671,2,0,0
agent-browser-axi,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:38:45.876Z,true,63981,40044,312,0,0.1064547,8.862,2,0,0
agent-browser,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:38:46.041Z,true,95980,71853,401,0,0.11804415,9.376,3,0,0
chrome-devtools-mcp,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:38:47.243Z,true,237047,212306,702,0,0.16699604999999998,30.576,5,0,0
chrome-devtools-mcp-code,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:38:47.780Z,true,167533,140030,707,0,0.15574575,19.262,5,0,0
chrome-devtools-mcp-search,github_repo_stars,4,claude-sonnet-4-6,2026-03-26T21:38:50.647Z,false,31054,8603,0,0,0.08677065,12.12,0,0,0
pinchtab,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:39:08.981Z,true,94875,70665,389,0,0.117819,31.075,3,0,0
agent-browser,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:39:09.253Z,true,129682,104434,706,0,0.13659645,16.695,4,0,0
agent-browser-axi,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:39:10.925Z,true,131637,105279,729,0,0.14135744999999997,20.893,4,0,0
chrome-devtools-mcp-search,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:39:11.194Z,false,31054,8603,0,0,0.08677065,12.757,0,0,0
chrome-devtools-mcp-compressed-cli,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:39:11.246Z,true,231983,205197,1132,0,0.17898060000000002,36.409,7,0,0
chrome-devtools-mcp-code,github_repo_stars,5,claude-sonnet-4-6,2026-03-26T21:39:27.946Z,true,329340,292098,1418,0,0.24854939999999995,36.272,9,0,0
chrome-devtools-mcp-compressed-cli,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:39:28.600Z,true,95436,71474,404,0,0.11735670000000001,13.446,3,0,0
agent-browser,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:39:32.082Z,true,129908,104656,570,0,0.13463805,17.579,4,0,0
chrome-devtools-mcp,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:39:33.559Z,false,139168,115641,354,0,0.12822555,16.258,3,0,0
pinchtab,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:39:34.493Z,true,193991,168634,1157,0,0.1630287,21.885,6,0,0
agent-browser-axi,wikipedia_table_read,2,claude-sonnet-4-6,2026-03-26T21:39:35.332Z,true,165662,139705,804,0,0.15130575000000002,20.692,5,0,0
chrome-devtools-mcp-search,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:39:40.221Z,true,127497,99778,479,0,0.1410594,19.221,4,0,0
chrome-devtools-mcp,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:39:57.245Z,true,139168,115470,354,0,0.1288155,13.333,3,0,0
agent-browser,wikipedia_table_read,2,claude-sonnet-4-6,2026-03-26T21:39:57.307Z,true,164968,138913,867,0,0.15238065,21.284,5,0,0
chrome-devtools-mcp-code,httpbin_page_read,1,claude-sonnet-4-6,2026-03-26T21:39:57.358Z,true,95995,71803,539,0,0.1203429,10.512,3,0,0
chrome-devtools-mcp-compressed-cli,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:39:58.354Z,true,95434,71473,403,0,0.11733764999999999,17.054,3,0,0
agent-browser-axi,wikipedia_table_read,3,claude-sonnet-4-6,2026-03-26T21:39:59.591Z,true,168632,141727,969,0,0.15794234999999998,20.371,5,0,0
pinchtab,wikipedia_table_read,2,claude-sonnet-4-6,2026-03-26T21:39:59.957Z,true,162769,137027,681,0,0.14785109999999999,20.849,5,0,0
chrome-devtools-mcp-search,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:40:05.073Z,true,127614,103301,513,0,0.12985380000000002,16.088,4,0,0
agent-browser-axi,wikipedia_table_read,4,claude-sonnet-4-6,2026-03-26T21:40:17.053Z,true,131992,105847,592,0,0.1386741,13.394,4,0,0
chrome-devtools-mcp-compressed-cli,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:40:17.410Z,true,95471,71493,417,0,0.11761740000000001,15.146,3,0,0
agent-browser,wikipedia_table_read,3,claude-sonnet-4-6,2026-03-26T21:40:20.584Z,true,129695,104448,663,0,0.13595190000000001,17.266,4,0,0
chrome-devtools-mcp,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:40:21.243Z,true,140754,117238,343,0,0.1284984,14.131,3,0,0
chrome-devtools-mcp-code,httpbin_page_read,2,claude-sonnet-4-6,2026-03-26T21:40:31.975Z,true,95993,71804,541,0,0.12036195000000001,9.947,3,0,0
pinchtab,wikipedia_table_read,3,claude-sonnet-4-6,2026-03-26T21:40:33.942Z,true,299455,271846,1543,0,0.20822505,28.634,9,0,0
chrome-devtools-mcp-search,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:40:34.022Z,true,127619,103303,519,0,0.12995565,15.228,4,0,0
agent-browser,wikipedia_table_read,4,claude-sonnet-4-6,2026-03-26T21:40:35.962Z,true,129885,104442,523,0,0.1345851,11.629,4,0,0
agent-browser-axi,wikipedia_table_read,5,claude-sonnet-4-6,2026-03-26T21:40:38.322Z,true,165600,138899,744,0,0.15295395,17.357,5,0,0
chrome-devtools-mcp,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:40:38.411Z,true,139168,115470,360,0,0.1289055,13.113,3,0,0
chrome-devtools-mcp-compressed-cli,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:40:50.227Z,true,95464,71303,412,0,0.11817165,18.372,3,0,0
agent-browser-axi,wikipedia_link_follow,1,claude-sonnet-4-6,2026-03-26T21:41:02.489Z,true,166161,139037,554,0,0.1517316,20.343,5,0,0
chrome-devtools-mcp,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:41:03.038Z,true,139168,115641,354,0,0.12822555,12.676,3,0,0
chrome-devtools-mcp-code,httpbin_page_read,3,claude-sonnet-4-6,2026-03-26T21:41:04.440Z,true,96007,71811,549,0,0.12051029999999999,14.872,3,0,0
chrome-devtools-mcp-compressed-cli,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:41:07.760Z,true,95473,71309,412,0,0.1181847,13.107,3,0,0
chrome-devtools-mcp-search,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:41:09.306Z,true,127483,103065,460,0,0.12938175000000002,23.956,4,0,0
agent-browser,wikipedia_table_read,5,claude-sonnet-4-6,2026-03-26T21:41:11.047Z,true,336245,308240,1483,0,0.21972750000000002,31.515,10,0,0
pinchtab,wikipedia_table_read,4,claude-sonnet-4-6,2026-03-26T21:41:18.106Z,true,369762,341317,2168,0,0.24157484999999998,40.294,11,0,0
agent-browser-axi,wikipedia_link_follow,2,claude-sonnet-4-6,2026-03-26T21:41:21.068Z,true,165877,139059,509,0,0.1499157,14.916,5,0,0
chrome-devtools-mcp,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:41:30.487Z,true,185362,162152,617,0,0.14493435000000002,24.005,4,0,0
chrome-devtools-mcp-code,httpbin_page_read,4,claude-sonnet-4-6,2026-03-26T21:41:31.556Z,true,95984,71798,542,0,0.1203639,10.779,3,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:41:32.053Z,true,139109,108005,603,0,0.15808275000000002,20.414,4,0,0
agent-browser,wikipedia_link_follow,1,claude-sonnet-4-6,2026-03-26T21:41:32.373Z,true,232967,204490,772,0,0.17970975000000003,17.163,7,0,0
agent-browser-axi,wikipedia_link_follow,3,claude-sonnet-4-6,2026-03-26T21:41:40.275Z,true,166342,140139,612,0,0.14947845,15.264,5,0,0
pinchtab,wikipedia_table_read,5,claude-sonnet-4-6,2026-03-26T21:41:48.048Z,true,230265,203257,1163,0,0.1796961,25.518,7,0,0
agent-browser,wikipedia_link_follow,2,claude-sonnet-4-6,2026-03-26T21:41:56.805Z,true,196889,169744,389,0,0.1585467,19.14,6,0,0
chrome-devtools-mcp-search,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:42:01.044Z,false,127588,103115,506,0,0.130293,14.219,4,0,0
chrome-devtools-mcp-code,httpbin_page_read,5,claude-sonnet-4-6,2026-03-26T21:42:01.235Z,true,95977,71795,533,0,0.120213,12.82,3,0,0
chrome-devtools-mcp,wikipedia_table_read,2,claude-sonnet-4-6,2026-03-26T21:42:06.707Z,true,281034,256373,1227,0,0.1877904,32.214,6,0,0
agent-browser-axi,wikipedia_link_follow,4,claude-sonnet-4-6,2026-03-26T21:42:12.918Z,true,271981,244403,1049,0,0.19246665000000002,28.332,8,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_table_read,2,claude-sonnet-4-6,2026-03-26T21:42:15.751Z,true,296021,257762,1525,0,0.24366809999999997,39.693,8,0,0
pinchtab,wikipedia_link_follow,1,claude-sonnet-4-6,2026-03-26T21:42:27.517Z,true,327180,301495,1260,0,0.205659,33.297,10,0,0
chrome-devtools-mcp,wikipedia_table_read,3,claude-sonnet-4-6,2026-03-26T21:42:30.694Z,true,185357,161899,644,0,0.14619345,19.225,4,0,0
agent-browser-axi,wikipedia_link_follow,5,claude-sonnet-4-6,2026-03-26T21:42:36.961Z,true,166262,139158,585,0,0.15215789999999998,20.036,5,0,0
chrome-devtools-mcp-compressed-cli,wikipedia_table_read,3,claude-sonnet-4-6,2026-03-26T21:42:38.867Z,true,168994,141012,537,0,0.1552866,19.541,5,0,0
chrome-devtools-mcp-search,wikipedia_table_read,1,claude-sonnet-4-6,2026-03-26T21:42:43.433Z,true,328765,302548,1786,0,0.21585690000000002,38.117,10,0,0
agent-browser,wikipedia_link_follow,3,claude-sonnet-4-6,2026-03-26T21:42:45.806Z,true,305643,276827,2118,0,0.2228706,45.065,9,0,0
